col 1-3 : short period comet designation,col 4-9 : Standard comet designation,col 10 : multiple nuclei present?,col 12-15 : year observed,col 17-18 : month observed,col 20-24,col 26 : special note / extinction note,col 27 : Magnitude collection method,col 28-32 : visual magnitude estimate,col 33 : poor conditions?,col 34 - 35 : reference catalog,col 36-40 : instrument aperture in centimeters,col 41 : instrument type,col 42 - 43 : focal ratio,col 44-47 : magnification used,col 49 : error estimate for coma diameter,col 50 - 54 : coma diameter in arcminutes,col 55 : special note on central condensation of comet,col : 56 -57 : degree of condensation (note / means estimate),col 59 - 64 : error of tail approximation and tail approximation,col 65 - 67 : direction tail is pointed,col 69-74 : ICQ reference publication,col 75 : second special note / extinction note ,col 76-80 : observer name,Heliocentric Distance (au),heliocentric corrected magnitudes (mhelio),magnitudes with heliocentric and phase corrections applied (mph),Dates YYYY:MM:DDTHH:MM:SS,Delta (au),Phase angle,Julian Date
,2020F3,,2020,07,10.45,!,B,1.5,,AU,5.0,B,,20,>,4,S,8,1.0,0,ICQ XX,,PARac,0.361382051194,1.6883800515259955,1.1488530649783977,2020-07-10T10:48:00,0.91690425830808,95.3764,2459040.916666667
,2020F3,,2020,07,10.22,G,S,1.8,,TK,5.0,B,,10,,5,S,6,,,NAV02,,NAV02,0.358148695033,1.9738442834706236,1.4343172969230258,2020-07-10T05:16:48,0.92306257538769,94.606,2459040.729166667
,2020F3,,2020,07,10.06,a,M,1.5,,HV,6.3,B,,9,,4.5,S,8,4.5,320,ICQ XX,,KAM01,0.355318462062,1.660900453707189,1.0931709411353685,2020-07-10T01:26:24,0.92858124819312,93.9017,2459040.5625
,2020F3,,2020,07,09.95,s,B,1.8,,TK,5.0,B,,10,&,2,,8,20.0,330,ICQ XX,,KAR02,0.35287711275,1.9495600154474733,1.3543796114987958,2020-07-09T22:47:59,0.93344341629147,93.2703,2459040.416666667
,2020F3,,2020,07,09.93,!,I,2.1,,TK,0.0,E,,,,0.4,,8,20.0,320,ICQ XX,,TSV01,0.353223828941,2.2511808022206488,1.6560003982719713,2020-07-09T22:19:12,0.93274695417779,93.3613,2459040.4375
,2020F3,,2020,07,09.22,G,S,1.8,,TK,5.0,B,,10,,5,S,6,,,NAV02,,NAV02,0.341841605081,1.8959970319942188,1.2219432034633262,2020-07-09T05:16:48,0.95675467632607,90.1053,2459039.729166667
,2020F3,,2020,07,07.13,,B,1.4,,TK,8.0,B,,11,,3,,8,190.0,,ICQ XX,,LAB02,0.313972397419,1.333506816111514,0.4171779550604804,2020-07-07T03:07:11,1.03109489530432,78.5743,2459037.625
,2020F3,,2020,07,07.08,a,S,1.5,,HV,6.3,B,,9,,4,S,8,2.0,310,ICQ XX,,KAM01,0.313085098835,1.427191427992829,0.4925288745813008,2020-07-07T01:55:12,1.03409803862479,78.0651,2459037.541666667
,2020F3,,2020,07,07.07,a,M,1.8,,TK,5.0,B,,10,,,,8,0.8,310,ICQ XX,,MEY,0.313305198282,1.728769018818243,0.7941064654067147,2020-07-07T01:40:48,1.03334703156225,78.1928,2459037.5625
,2020F3,,2020,07,07.06,,S,1.5,,TI,4.4,B,,8,,,,8,20.0,305,ICQ XX,,HAR11,0.313305198282,1.428769018818243,0.49410646540671466,2020-07-07T01:26:24,1.03334703156225,78.1928,2459037.5625
