col 1-3 : short period comet designation,col 4-9 : Standard comet designation,col 10 : multiple nuclei present?,col 12-15 : year observed,col 17-18 : month observed,col 20-24,col 26 : special note / extinction note,col 27 : Magnitude collection method,col 28-32 : visual magnitude estimate,col 33 : poor conditions?,col 34 - 35 : reference catalog,col 36-40 : instrument aperture in centimeters,col 41 : instrument type,col 42 - 43 : focal ratio,col 44-47 : magnification used,col 49 : error estimate for coma diameter,col 50 - 54 : coma diameter in arcminutes,col 55 : special note on central condensation of comet,col : 56 -57 : degree of condensation (note / means estimate),col 59 - 64 : error of tail approximation and tail approximation,col 65 - 67 : direction tail is pointed,col 69-74 : ICQ reference publication,col 75 : second special note / extinction note ,col 76-80 : observer name,Heliocentric Distance (au),heliocentric corrected magnitudes (mhelio),magnitudes with heliocentric and phase corrections applied (mph),Dates YYYY:MM:DDTHH:MM:SS,Delta (au),Phase angle
,1995O1,,1995,07,30.09,a,S,10.3,,AC,38.0,L,5,65,,2.1,,2,,,ICQ 96,,BOR,7.095457465644,6.340466881964402,6.166820706625488,1995-07-30T02:09:36,6.19307905170377,4.0184
,1995O1,,1995,07,31.09,a,S,10.4,,AC,40.6,L,5,70,,1.9,,3,,,ICQ 96,,BOR,7.086991204866,6.4405987198471095,6.266952544508196,1995-07-31T02:09:36,6.19270305906359,4.1517
,1995O1,,1995,08,01.11,a,S,10.3,,AC,40.6,L,5,90,,1.7,,3,,,ICQ 96,,BOR,7.078344046676,6.340631007097086,6.166984831758172,1995-08-01T02:38:24,6.19261098151089,4.2871
,1995O1,,1995,08,14.06,a,S,10.1,,AC,40.6,L,5,70,,2.2,,3/,,,ICQ 96,,BOR,6.968177355126,6.132685935104574,5.877577960121953,1995-08-14T01:26:24,6.21531026084293,5.9003
,1995O1,,1995,08,20.07,a,S,10.1,,AC,40.6,L,5,70,,2.5,,5,,,ICQ 96,,BOR,6.916912578046,6.1243254382684835,5.8297826573441585,1995-08-20T01:40:48,6.23928627034909,6.5553
,1995O1,,1995,08,21.08,a,S,10.3,,AC,40.6,L,5,90,,2.0,,8,,,ICQ 96,,BOR,6.908530911432,6.322716165202813,6.028173384278488,1995-08-21T01:55:12,6.24391190445539,6.6555
,1995O1,,1995,08,25.09,a,S,10.1,,AC,40.6,L,5,70,,2.0,,8,,,ICQ 96,,BOR,6.873887742469,6.115414500833453,5.820871719909128,1995-08-25T02:09:36,6.2649426509549,7.0471
,1995O1,,1995,08,26.05,a,S,9.9,,AC,40.6,L,5,70,,1.6,,7/,,,ICQ 96,,BOR,6.865662355803,5.913536807425194,5.618994026500869,1995-08-26T01:12:07,6.27036235097109,7.1346
,1995O1,,1995,08,29.05,a,S,10.0,,AC,40.6,L,5,90,,1.4,,6/,,,ICQ 96,,BOR,6.839885836217,6.007328053272877,5.712785272348552,1995-08-29T01:12:07,6.28831645799542,7.3949
,1995O1,,1995,08,31.06,a,S,9.9,,AC,40.6,L,5,70,,1.9,,6/,,,ICQ 96,,BOR,6.822498903948,5.902884277039469,5.569783735777239,1995-08-31T01:26:24,6.30119826264932,7.5582
