col 1-3 : short period comet designation,col 4-9 : Standard comet designation,col 10 : multiple nuclei present?,col 12-15 : year observed,col 17-18 : month observed,col 20-24,col 26 : special note / extinction note,col 27 : Magnitude collection method,col 28-32 : visual magnitude estimate,col 33 : poor conditions?,col 34 - 35 : reference catalog,col 36-40 : instrument aperture in centimeters,col 41 : instrument type,col 42 - 43 : focal ratio,col 44-47 : magnification used,col 49 : error estimate for coma diameter,col 50 - 54 : coma diameter in arcminutes,col 55 : special note on central condensation of comet,col : 56 -57 : degree of condensation (note / means estimate),col 59 - 64 : error of tail approximation and tail approximation,col 65 - 67 : direction tail is pointed,col 69-74 : ICQ reference publication,col 75 : second special note / extinction note ,col 76-80 : observer name,Date YYYY-MM-DDTHH:MM:SS,r (au),mhelio (BLANK if you did not ask to calculate this value),mph,mshift (no dropped observers),mshift with dropped observers,Delta (au),Phase Angle,residual of mshift from polyfit,Julian Date
,1995O1,,1998,02,27.00,,M,8.4,,HS,7.0,R,4,25,,5.3,,3/,0.16,79,ICQ XX,,LEH,1998-02-27T00:00:00,4.519165182717,5.134837866842389,4.622277226970218,4.622277226970218,4.7991705806474645,4.49813438995162,12.6083,0.011561049065796247,2450871.5
,1995O1,,1998,02,26.01,,M,8.4,,HS,7.0,R,4,25,,5.3,,3/,0.16,79,ICQ XX,,LEH,1998-02-26T00:14:23,4.509015658915,5.1414102325625874,4.6288495926904165,4.6288495926904165,4.805742946367663,4.48454053091901,12.6377,0.0005652151315622689,2450870.5
,1995O1,,1998,02,24.99,,M,8.4,,HS,7.0,R,4,25,,5.8,,3/,0.18,76,ICQ XX,,LEH,1998-02-24T23:45:35,4.498434018066,5.1482792590275785,4.635718619155408,4.635718619155408,4.812611972832654,4.47037698137968,12.6684,-0.01118710088750241,2450869.458333333
,1995O1,,1998,02,24.02,,M,8.4,,HS,7.0,R,4,25,,5.5,,3/,0.18,75,ICQ XX,,LEH,1998-02-24T00:28:47,4.488902473254,5.154480764604079,4.641920124731908,4.641920124731908,4.8188134784091545,4.4576282500683,12.6961,-0.022023170058210972,2450868.520833333
,1995O1,,1998,02,22.99,,M,8.4,,HS,7.0,R,4,25,,5,,2/,,,ICQ XX,,LEH,1998-02-22T23:45:35,4.478090787732,5.161530719643343,4.648970079771172,4.648970079771172,4.8258634334484185,4.44317947354436,12.7275,-0.03459912889280847,2450867.458333333
,1995O1,,1998,02,21.99,,M,8.3,,HS,7.0,R,4,25,,5.5,,3,0.16,72,ICQ XX,,LEH,1998-02-21T23:45:35,4.467906061287,5.068186327092857,4.555625687220686,4.555625687220686,4.732519040897932,4.4295818864611,12.7571,0.05327975025257725,2450866.458333333
,1995O1,,1998,02,20.99,,M,8.4,,HS,7.0,R,4,25,,5.5,,4,0.18,70,ICQ XX,,LEH,1998-02-20T23:45:35,4.45771255904,5.1748610859710125,4.6623004460988415,4.6623004460988415,4.839193799776088,4.41598696522741,12.7868,-0.05911618245162753,2450865.458333333
,1995O1,,1998,02,17.96,,M,8.3,,HS,7.0,R,4,25,,6.1,,4/,0.38,65,ICQ XX,,LEH,1998-02-17T23:02:24,4.4270791334920006,5.094994474456702,4.582433834584531,4.582433834584531,4.759327188261778,4.3752321848136,12.8762,0.0020618884467333842,2450862.458333333
,1995O1,,1998,02,16.99,,M,8.1,,HS,7.0,R,4,25,,5.7,,4,,,ICQ XX,,LEH,1998-02-16T23:45:35,4.416850263499,4.90174001830768,4.389179378435509,4.389179378435509,4.566072732112755,4.36166188697538,12.9061,0.18858154448148667,2450861.458333333
,1995O1,,1998,02,15.99,,M,8.1,,HS,7.0,R,4,25,,6,,4,,,ICQ XX,,LEH,1998-02-15T23:45:35,4.406612484893999,4.9085017746565445,4.3959411347843735,4.3959411347843735,4.57283448846162,4.34810121539862,12.9362,0.17483390781575103,2450860.458333333
,1995O1,,1998,02,14.01,,M,8.3,,HS,7.0,R,4,25,,5.9,,4/,0.4,61,ICQ XX,,LEH,1998-02-14T00:14:23,4.386537593332999,5.12178817546016,4.609227535587989,4.609227535587989,4.786120889265235,4.32157808892277,12.9952,-0.05285679647525132,2450858.5
,1995O1,,1998,02,09.06,,M,8.2,,HS,7.0,R,4,25,,5.9,,4,,,ICQ XX,,LEH,1998-02-09T01:26:24,4.335769756684,5.055520803450873,4.5429601635787025,4.5429601635787025,4.719853517255949,4.25496350338524,13.146,-0.027114730201744486,2450853.5625
,1995O1,,1998,02,05.01,,M,8.2,,HS,7.0,R,4,25,,5.6,,3/,,,ICQ XX,,LEH,1998-02-05T00:14:23,4.293832099977,5.083481945829246,4.570921305957075,4.570921305957075,4.747814659634321,4.2005253580469,13.2722,-0.0928685797565656,2450849.5
,1995O1,,1998,02,01.05,,M,8.2,,HS,7.0,R,4,25,,5.6,,3/,,,ICQ XX,,LEH,1998-02-01T01:12:07,4.252823142358,5.110854890237277,4.598294250365106,4.598294250365106,4.775187604042352,4.14790710906784,13.3973,-0.16085287041895402,2450845.541666667
,1995O1,,1998,01,17.06,,S,8.0,,AA,8.0,B,,20,,4,,5,,,ICQ TA,,LOU,1998-01-17T01:26:24,4.096295390653,5.014638758495814,4.468847719764192,4.468847719764192,4.413059561308932,3.95432397884333,13.8937,0.014470468592064911,2450830.5625
,1995O1,,1997,12,11.26,,S,7.1,,AA,8.0,B,,20,,5,,5,,,ICQ TA,,LOU,1997-12-11T06:14:23,3.702065736912,4.353673883510438,3.7756390007804734,3.7756390007804734,3.719850842325214,3.54213593006434,15.4207,0.058324222098499856,2450793.75
,1995O1,,1997,12,11.26,,S,7.1,,AA,8.0,B,,20,,5,,5,,,ICQ TA,,LOU,1997-12-11T06:14:23,3.702065736912,4.353673883510438,3.7756390007804734,3.7756390007804734,3.719850842325214,3.54213593006434,15.4207,0.058324222098499856,2450793.75
,1995O1,,1997,12,10.26,,S,7.1,,AA,8.0,B,,20,,5,,5,,,ICQ TA,,LOU,1997-12-10T06:14:23,3.6911566950080004,4.359513663952159,3.7814787812221944,3.7814787812221944,3.725690622766935,3.53262279681857,15.4701,0.031644076359325535,2450792.75
,1995O1,,1997,12,10.26,,S,7.1,,AA,8.0,B,,20,,5,,5,,,ICQ TA,,LOU,1997-12-10T06:14:23,3.6911566950080004,4.359513663952159,3.7814787812221944,3.7814787812221944,3.725690622766935,3.53262279681857,15.4701,0.031644076359325535,2450792.75
,1995O1,,1997,12,06.26,,S,7.1,,AA,8.0,B,,20,,5,,5,,,ICQ TA,,LOU,1997-12-06T06:14:23,3.647410223231,4.382397694342904,3.772846486452427,3.772846486452427,3.717058327997168,3.49558978156237,15.6721,-0.04447989256606233,2450788.75
,1995O1,,1997,11,28.22,,S,6.9,,AA,8.0,B,,20,,5,,5,,,ICQ TA,,LOU,1997-11-28T05:16:48,3.5591506824159995,4.225841023495795,3.6162898156053176,3.6162898156053176,3.5605016571500583,3.42635056357194,16.0941,-0.06408852191371528,2450780.729166667
,1995O1,,1997,11,27.23,,S,6.9,,AA,8.0,B,,20,,5,,5,,,ICQ TA,,LOU,1997-11-27T05:31:12,3.5480958340290005,4.231017016253267,3.6214658083627898,3.6214658083627898,3.5656776499075304,3.41819312817293,16.148,-0.09175935005520186,2450779.729166667
,1995O1,,1997,11,10.29,,S,6.5,,AA,8.0,B,,20,,5,,5,,,ICQ TA,,LOU,1997-11-10T06:57:35,3.3586214885670005,3.9103222996747053,3.2702719627793124,3.2702719627793124,3.214483804324053,3.29560793656024,17.0831,-0.13686731683322906,2450762.75
,1995O1,,1997,11,09.22,,S,6.5,,AA,8.0,B,,20,,5,,5,,,ICQ TA,,LOU,1997-11-09T05:16:48,3.3471211707759996,3.914564698220399,3.2745143613250063,3.2745143613250063,3.218726202869747,3.28917560357126,17.1392,-0.16563100951272913,2450761.729166667
,1995O1,,1997,11,01.28,,S,6.3,,AA,8.0,B,,20,,5,,5,,,ICQ TA,,LOU,1997-11-01T06:43:12,3.2570331570480002,3.745614847228464,3.0757946997281307,3.0757946997281307,3.0200065412728714,3.24247794361386,17.5661,-0.1598234659647484,2450753.770833333
,1995O1,,1997,11,01.28,,S,6.3,,AA,8.0,B,,20,,5,,5,,,ICQ TA,,LOU,1997-11-01T06:43:12,3.2570331570480002,3.745614847228464,3.0757946997281307,3.0757946997281307,3.0200065412728714,3.24247794361386,17.5661,-0.1598234659647484,2450753.770833333
,1995O1,,1997,10,28.29,,S,6.2,,AA,8.0,B,,20,,8,,5,,,ICQ TA,,LOU,1997-10-28T06:57:35,3.2112226767300003,3.6599869192395027,2.9901667717391693,2.9901667717391693,2.9343786132839105,3.22108819477948,17.7708,-0.17249706138195942,2450749.75
,1995O1,,1997,10,27.30,,S,6.2,,AA,8.0,B,,20,,8,,5,,,ICQ TA,,LOU,1997-10-27T07:11:59,3.2002745921379994,3.6632884908766243,2.993468343376291,2.993468343376291,2.9376801849210317,3.21619447711071,17.8182,-0.19927629577673,2450748.791666667
,1995O1,,1997,10,12.29,,S,5.5,,AA,8.0,B,,20,,8,,4,0.5,,ICQ TA,,LOU,1997-10-12T06:57:35,3.026924816109,3.0095184684439173,2.339698320943584,2.339698320943584,2.2839101624883247,3.14844641563369,18.4633,0.08636430561247765,2450733.75
,1995O1,,1997,10,11.25,,S,5.1,,YG,5.0,B,,10,,18,,4,,,ICQ105,,GRA04,1997-10-11T06:00:00,3.015298129755,2.6122603505658697,1.9424402030655363,1.9424402030655363,2.0190992139019577,3.14447343350849,18.4982,0.3275035703589282,2450732.75
,1995O1,,1997,10,09.31,,S,5.4,,AA,8.0,B,,20,,10,,4,1.0,,ICQ TA,,LOU,1997-10-09T07:26:23,2.9927347922459995,2.9174728827395926,2.218904683650245,2.218904683650245,2.1631165251949858,3.13693430382362,18.5623,0.1359433815648825,2450730.8125
,1995O1,,1997,10,08.31,,S,5.3,,AA,8.0,B,,20,,10,,4,1.0,,ICQ TA,,LOU,1997-10-08T07:26:23,2.981070248067,2.8201142001951185,2.121546001105771,2.121546001105771,2.0657578426505117,3.13312094560113,18.5935,0.20915468017551886,2450729.8125
,1995O1,,1997,10,08.31,,S,5.3,,AA,8.0,B,,20,,10,,4,1.0,,ICQ TA,,LOU,1997-10-08T07:26:23,2.981070248067,2.8201142001951185,2.121546001105771,2.121546001105771,2.0657578426505117,3.13312094560113,18.5935,0.20915468017551886,2450729.8125
,1995O1,,1997,10,05.33,,S,5.3,,AA,8.0,B,,20,,10,,4,1.0,,ICQ TA,,LOU,1997-10-05T07:55:12,2.945754986942,2.8279073284384735,2.129339129349126,2.129339129349126,2.0735509708938666,3.12189674066553,18.6797,0.128763887413188,2450726.791666667
,1995O1,,1997,10,04.32,,S,5.3,,AA,8.0,B,,20,,10,,4,1.0,,ICQ TA,,LOU,1997-10-04T07:40:48,2.9342825544320004,2.8303782314379533,2.1318100323486058,2.1318100323486058,2.076021873893347,3.11834637693411,18.705,0.10288541446752886,2450725.8125
,1995O1,,1997,10,01.44,,S,5.1,,SC,8.0,B,,20,,12,,4,,,ICQ107,,KRO02,1997-10-01T10:33:36,2.900525394049,2.6374965282752436,1.938928329185896,1.938928329185896,2.1147202600620663,3.10814087199487,18.7709,-0.003602843340630546,2450722.9375
,1995O1,,1997,09,30.44,,S,5.1,,SC,8.0,B,,20,,12,,4,,,ICQ107,,KRO02,1997-09-30T10:33:36,2.888758489235,2.639929545574784,1.9413613464854365,1.9413613464854365,2.1171532773616066,3.10466031863214,18.7909,-0.02965253530865697,2450721.9375
,1995O1,,1997,09,10.33,,S,4.8,,AA,5.0,B,,7,,15,,6,2.5,240,ICQ TA,,LOU,1997-09-10T07:55:12,2.648906096226,2.386889785988081,1.6883215868987334,1.6883215868987334,1.6325334284434736,3.03823975971209,18.8366,0.0012799540243333407,2450701.791666667
,1995O1,,1997,08,16.34,,S,4.2,,AA,0.0,E,,,,10,,,,,ICQ XX,,LOU,1997-08-16T08:09:36,2.344429130323,1.8540922801974848,1.1842721326971515,1.1842721326971515,1.1284839742418917,2.94565271945001,17.8312,0.02968310757512449,2450676.833333333
,1995O1,,1997,08,16.34,,S,4.2,,AA,0.0,E,,,,10,,,,,ICQ XX,,LOU,1997-08-16T08:09:36,2.344429130323,1.8540922801974848,1.1842721326971515,1.1842721326971515,1.1284839742418917,2.94565271945001,17.8312,0.02968310757512449,2450676.833333333
,1995O1,,1997,08,15.34,,S,4.2,,AA,0.0,E,,,,10,,,,,ICQ XX,,LOU,1997-08-15T08:09:36,2.332067551471,1.8573468429240996,1.1875266954237662,1.1875266954237662,1.1317385369685065,2.94124113640426,17.7662,0.009743324142730492,2450675.833333333
,1995O1,,1997,08,14.34,,S,4.1,,AA,0.0,E,,,,10,,,,,ICQ XX,,LOU,1997-08-14T08:09:36,2.319694121963,1.7606601984213164,1.090840050920983,1.090840050920983,1.0350518924657233,2.93675664643277,17.6995,0.08993068846491448,2450674.833333333
,1995O1,,1997,08,13.35,,S,4.1,,AA,0.0,E,,,,10,,,,,ICQ XX,,LOU,1997-08-13T08:23:59,2.307567088251,1.7639633798795589,1.0941432323792255,1.0941432323792255,1.0383550739239658,2.93229273262407,17.6324,0.07065109266722414,2450673.854166667
,1995O1,,1997,08,02.36,,S,4.1,,AA,8.0,B,,20,,15,,5,3.0,225,ICQ TA,,LOU,1997-08-02T08:38:24,2.170592623515,1.8056522988800978,1.165601961984705,1.165601961984705,1.1098138035294451,2.87653418921085,16.7726,-0.16868946752391634,2450662.854166667
,1995O1,,1997,08,02.36,,S,4.1,,AA,8.0,B,,20,,15,,5,3.0,225,ICQ TA,,LOU,1997-08-02T08:38:24,2.170592623515,1.8056522988800978,1.165601961984705,1.165601961984705,1.1098138035294451,2.87653418921085,16.7726,-0.16868946752391634,2450662.854166667
,1995O1,,1997,08,02.36,,S,4.1,,AA,8.0,B,,20,,15,,5,3.0,225,ICQ TA,,LOU,1997-08-02T08:38:24,2.170592623515,1.8056522988800978,1.165601961984705,1.165601961984705,1.1098138035294451,2.87653418921085,16.7726,-0.16868946752391634,2450662.854166667
,1995O1,,1997,08,02.36,,S,4.1,,AA,8.0,B,,20,,15,,5,3.0,225,ICQ TA,,LOU,1997-08-02T08:38:24,2.170592623515,1.8056522988800978,1.165601961984705,1.165601961984705,1.1098138035294451,2.87653418921085,16.7726,-0.16868946752391634,2450662.854166667
