col 1-3 : short period comet designation,col 4-9 : Standard comet designation,col 10 : multiple nuclei present?,col 12-15 : year observed,col 17-18 : month observed,col 20-24,col 26 : special note / extinction note,col 27 : Magnitude collection method,col 28-32 : visual magnitude estimate,col 33 : poor conditions?,col 34 - 35 : reference catalog,col 36-40 : instrument aperture in centimeters,col 41 : instrument type,col 42 - 43 : focal ratio,col 44-47 : magnification used,col 49 : error estimate for coma diameter,col 50 - 54 : coma diameter in arcminutes,col 55 : special note on central condensation of comet,col : 56 -57 : degree of condensation (note / means estimate),col 59 - 64 : error of tail approximation and tail approximation,col 65 - 67 : direction tail is pointed,col 69-74 : ICQ reference publication,col 75 : second special note / extinction note ,col 76-80 : observer name,Date YYYY-MM-DDTHH:MM:SS,r (au),mhelio (BLANK if you did not ask to calculate this value),mph,mshift (no dropped observers),mshift with dropped observers,Delta (au),Phase Angle,residual of mshift from polyfit,Julian Date
,2020F3,,2020,04,12.45,,M,13.2,,AQ,40.6,L,4,76,,2,,2,,,ICQ XX,,CAM03,2020-04-12T10:48:00,-1.830716513414,12.1386076201866,11.12982545452796,11.12982545452796,11.12982545452795,1.63034109606342,33.0354,0.38999145146708614,2458951.916666667
,2020F3,,2020,04,14.45,,S,13.0,,AQ,40.6,L,4,165,,2,,2/,,,ICQ XX,,CAM03,2020-04-14T10:48:00,-1.7977055593019997,11.94373179922196,10.919442808517363,10.919442808517363,10.919442808517353,1.6264983990885,33.5998,-0.14611028203971443,2458953.916666667
,2020F3,,2020,04,16.44,,S,12.6,,AQ,40.6,L,4,76,,5,,2,,,ICQ XX,,CAM03,2020-04-16T10:33:36,-1.764100662675,11.547767447143494,10.523478456438898,10.523478456438898,10.523478456438887,1.62347838413973,34.1518,-0.394803820819412,2458955.9375
,2020F3,,2020,04,18.47,,M,12.0,,AQ,40.6,L,4,76,,5,,3,,,ICQ XX,,CAM03,2020-04-18T11:16:48,-1.729886683423,10.950777207533042,9.911605268451869,9.911605268451869,9.911605268451858,1.62122972734277,34.6875,-0.33015622583250703,2458957.979166667
,2020F3,,2020,04,19.46,,S,11.6,,AQ,40.6,L,4,76,,4,,2,,,ICQ XX,,CAM03,2020-04-19T11:02:24,-1.713382002344,10.551870752129265,9.512698813048091,9.512698813048091,9.51269881304808,1.62041348824831,34.9356,-0.1590802093106234,2458958.958333333
,2020F3,,2020,04,22.44,,S,10.5,,AQ,40.6,L,4,76,,3,,2,,,ICQ XX,,CAM03,2020-04-22T10:33:36,-1.662771863083,9.453956114179842,8.401126935844914,8.401126935844914,8.401126935844903,1.61885807970373,35.6517,0.3843896545241172,2458961.9375
,2020F3,,2020,04,23.44,,S,10.5,,AQ,40.6,L,4,76,,3,,2,,,ICQ XX,,CAM03,2020-04-23T10:33:36,-1.645647696037,9.45428116307154,8.401451984736612,8.401451984736612,8.401451984736601,1.61861577008925,35.8778,0.2317205194014509,2458962.9375
,2020F3,,2020,04,25.45,,S,10.3,,TK,40.6,L,4,76,,3,,2,,,ICQ XX,,CAM03,2020-04-25T10:48:00,-1.611548295926,9.254449165383487,8.20161998704856,8.20161998704856,8.201619987048549,1.61849054599189,36.3024,0.17953434196244444,2458964.916666667
,2020F3,,2020,04,27.45,,S,10.0,,TK,40.6,L,4,76,,4,,2,,,ICQ XX,,CAM03,2020-04-27T10:48:00,-1.576802276808,8.954069282140965,7.88827851487546,7.88827851487546,7.8882785148754495,1.61877371386347,36.6987,0.29617567990124805,2458966.916666667
,2020F3,,2020,04,28.46,,S,10.2,,TK,40.6,L,4,76,,6,,2,,,ICQ XX,,CAM03,2020-04-28T11:02:24,-1.558587875279,9.153689661771521,8.087898894506015,8.087898894506015,8.087898894506004,1.61905673527852,36.8912,0.013476036991253437,2458967.958333333
